Case Number,Address House Number,Address Street Direction,Address Street Name,Address Street Suffix,Address Zip,Date Case Generated,Date Case Closed,Case Type,Response Days,Status of Case,lat,long
142349,10451,S,HOOVER,ST,90044,5/13/2005,2/21/2014,GENERAL,3206,O,33.94125,-118.28711
143586,1316,W,65TH,ST,90044,5/25/2005,1/10/2013,GENERAL,2787,O,33.98052,-118.2987
411656,17442,W,MANTECA,ST,91406,4/4/2011,,GENERAL,,O,34.20463,-118.51314
411692,1042,N,NORMANDIE,AVE,90029,4/4/2011,,GENERAL,,O,34.08958,-118.30033
228766,2425,N,MOUNT OLYMPUS,DR,90046,6/4/2008,9/16/2014,GENERAL,2295,O,34.11596,-118.37061
411775,3512,N,SIERRA,ST,90031,4/5/2011,,GENERAL,,O,34.08571,-118.19983
479793,3406,N,NORTH BROADWAY,,90031,9/24/2012,,GENERAL,,O,34.07363,-118.20483
229273,3118,W,WELDON,AVE,90065,6/12/2008,8/19/2014,GENERAL,2259,O,34.12049,-118.23918
233,1855,W,GAGE,AVE,90047,10/27/2014,,VEIP,,O,33.98197,-118.3108
480197,15235,W,VALERIO,ST,91405,9/27/2012,,GENERAL,,O,34.20492,-118.46518
237839,929,S,MUIRFIELD,ROAD,90019,10/23/2008,10/9/2014,GENERAL,2177,O,34.05798,-118.33081
480317,6121,S,SAN PEDRO,ST,90003,9/28/2012,,GENERAL,,O,33.98366,-118.26973
250906,6208,S,WEST,BLVD,90043,2/9/2009,6/22/2015,GENERAL,2324,O,33.98345,-118.33503
29783,2400,N,VALLEY VIEW,DR,90026,11/19/2002,3/24/2016,GENERAL,4874,O,34.09291,-118.24399
486030,3429,N,FIGUEROA,ST,90065,12/3/2012,,GENERAL,,O,34.0881,-118.21692
486159,6601,N,JAMIESON,AVE,91335,12/4/2012,,GENERAL,,O,34.19047,-118.52169
486188,3435,W,WILSHIRE,BLVD,90010,12/4/2012,,GENERAL,,O,34.06194,-118.29866
486213,16916,W,LORNE,ST,91406,12/4/2012,,GENERAL,,O,34.2171,-118.50187
486339,20246,W,ARMINTA,ST,91306,12/5/2012,,GENERAL,,O,34.21305,-118.57463
30399,2915,S,STANFORD,AVE,90292,11/26/2002,10/20/2014,GENERAL,4346,O,33.98932,-118.44874
343356,6058,S,NORMANDIE,AVE,90044,12/10/2009,2/29/2016,GENERAL,2272,O,33.98466,-118.30008
486353,1519,S,GENESEE,AVE,90019,12/5/2012,,GENERAL,,O,34.04856,-118.36427
486779,4608,E,NOB HILL,DR,90065,12/11/2012,,GENERAL,,O,34.11169,-118.21859
487247,114,W,54TH,ST,90037,12/14/2012,,GENERAL,,O,33.99321,-118.27463
487337,17438,W,HORACE,ST,91344,12/18/2012,,GENERAL,,O,34.26955,-118.51448
339677,908,S,FRESNO,ST,90023,11/24/2009,9/16/2014,GENERAL,1757,O,34.02949,-118.20563
487597,14925,W,FRIAR,ST,91411,12/26/2012,,GENERAL,,O,34.18582,-118.45836
350819,2117,S,MANNING,AVE,90025,12/28/2009,9/17/2014,GENERAL,1724,O,34.04787,-118.42725
487599,7358,N,RUFFNER,AVE,91406,12/26/2012,,GENERAL,,O,34.20459,-118.4966
