Case Number,Address House Number,Address House Fraction Number,Address Street Direction,Address Street Name,Address Street Suffix,Address Street Suffix Direction,Address Zip,Date Case Generated,Date Case Closed,GIS Parcel Identification Number (PIN),Case Type,Area Planning Commission (APC),Response Days,Status of Case,lat,long,year
142349,10451,,S,HOOVER,ST,,90044,5/13/2005,2/21/2014,090A199   116,GENERAL,South Los Angeles,3206,O,33.94125,-118.28711,2005
143586,1316,,W,65TH,ST,,90044,5/25/2005,1/10/2013,105B197  1500,GENERAL,South Los Angeles,2787,O,33.98052,-118.2987,2005
411656,17442,,W,MANTECA,ST,,91406,4/4/2011,,186B129   921,GENERAL,South Valley,,O,34.20463,-118.51314,2011
411692,1042,,N,NORMANDIE,AVE,,90029,4/4/2011,,144B197   955,GENERAL,Central,,O,34.08958,-118.30033,2011
228766,2425,,N,MOUNT OLYMPUS,DR,,90046,6/4/2008,9/16/2014,153B173   324,GENERAL,South Valley,2295,O,34.11596,-118.37061,2008
411775,3512,,N,SIERRA,ST,,90031,4/5/2011,,142-5A227 113,GENERAL,East Los Angeles,,O,34.08571,-118.19983,2011
479793,3406,,N,NORTH BROADWAY,,,90031,9/24/2012,,138A225    45,GENERAL,East Los Angeles,,O,34.07363,-118.20483,2012
229273,3118,,W,WELDON,AVE,,90065,6/12/2008,8/19/2014,156B213   344,GENERAL,East Los Angeles,2259,O,34.12049,-118.23918,2008
480197,15235,,W,VALERIO,ST,,91405,9/27/2012,,186B145   490,GENERAL,South Valley,,O,34.20492,-118.46518,2012
237839,929,,S,MUIRFIELD,ROAD,,90019,10/23/2008,10/9/2014,132B185   454,GENERAL,Central,2177,O,34.05798,-118.33081,2008
480317,6121,,S,SAN PEDRO,ST,,90003,9/28/2012,,105B205   738,GENERAL,South Los Angeles,,O,33.98366,-118.26973,2012
250906,6208,,S,WEST,BLVD,,90043,2/9/2009,6/22/2015,105B185   750,GENERAL,South Los Angeles,2324,O,33.98345,-118.33503,2009
29783,2400,,N,VALLEY VIEW,DR,,90026,11/19/2002,3/24/2016,144B213   243,GENERAL,East Los Angeles,4874,O,34.09291,-118.24399,2002
486030,3429,,N,FIGUEROA,ST,,90065,12/3/2012,,144A221   309,GENERAL,East Los Angeles,,O,34.0881,-118.21692,2012
486159,6601,,N,JAMIESON,AVE,,91335,12/4/2012,,180B129   472,GENERAL,South Valley,,O,34.19047,-118.52169,2012
486188,3435,,W,WILSHIRE,BLVD,,90010,12/4/2012,,132B197    26,GENERAL,Central,,O,34.06194,-118.29866,2012
486213,16916,,W,LORNE,ST,,91406,12/4/2012,,189B133   226,GENERAL,South Valley,,O,34.2171,-118.50187,2012
486339,20246,,W,ARMINTA,ST,,91306,12/5/2012,,189B113   880,GENERAL,South Valley,,O,34.21305,-118.57463,2012
30399,2915,,S,STANFORD,AVE,,90292,11/26/2002,10/20/2014,108B149  1419,GENERAL,West Los Angeles,4346,O,33.98932,-118.44874,2002
343356,6058,,S,NORMANDIE,AVE,,90044,12/10/2009,2/29/2016,105B197   554,GENERAL,South Los Angeles,2272,O,33.98466,-118.30008,2009
486353,1519,,S,GENESEE,AVE,,90019,12/5/2012,,129B177   982,GENERAL,Central,,O,34.04856,-118.36427,2012
486779,4608,,E,NOB HILL,DR,,90065,12/11/2012,,153A221   426,GENERAL,East Los Angeles,,O,34.11169,-118.21859,2012
487247,114,,W,54TH,ST,,90037,12/14/2012,,108B201   573,GENERAL,South Los Angeles,,O,33.99321,-118.27463,2012
487337,17438,,W,HORACE,ST,,91344,12/18/2012,,210B129   684,GENERAL,North Valley,,O,34.26955,-118.51448,2012
339677,908,,S,FRESNO,ST,,90023,11/24/2009,9/16/2014,123A225   451,GENERAL,East Los Angeles,1757,O,34.02949,-118.20563,2009
487597,14925,,W,FRIAR,ST,,91411,12/26/2012,,180B149  1025,GENERAL,South Valley,,O,34.18582,-118.45836,2012
350819,2117,,S,MANNING,AVE,,90025,12/28/2009,9/17/2014,129B157   962,GENERAL,West Los Angeles,1724,O,34.04787,-118.42725,2009
487599,7358,,N,RUFFNER,AVE,,91406,12/26/2012,,186B137   249,GENERAL,South Valley,,O,34.20459,-118.4966,2012
